PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
05Ordenacao;0.0;9;10;90%;16;20;80%
05Ordenacao;0.0;9;10;90%;16;20;80%
05Ordenacao;0.0;9;10;90%;16;20;80%
06Fibonacci;0.7;5;6;83%;12;12;100%
06Fibonacci;0.8;5;6;83%;12;12;100%
06Fibonacci;0.8;5;6;83%;12;12;100%
06Fibonacci;0.9;5;6;83%;12;12;100%
06Fibonacci;0.9;5;6;83%;12;12;100%
06Fibonacci;0.9;5;6;83%;12;12;100%
06Fibonacci;1.0;5;6;83%;12;12;100%
06Fibonacci;1.0;5;6;83%;12;12;100%
06Fibonacci;0.6;5;6;83%;12;12;100%
06Fibonacci;0.6;5;6;83%;12;12;100%
06Fibonacci;0.5;5;6;83%;12;12;100%
06Fibonacci;0.5;5;6;83%;12;12;100%
06Fibonacci;0.4;5;6;83%;12;12;100%
06Fibonacci;0.2;5;6;83%;12;12;100%
07Fibonacci;0.8;5;6;83%;12;12;100%
07Fibonacci;0.8;5;6;83%;12;12;100%
07Fibonacci;0.8;5;6;83%;12;12;100%
07Fibonacci;0.9;5;6;83%;12;12;100%
07Fibonacci;1.0;5;6;83%;12;12;100%
07Fibonacci;1.0;5;6;83%;12;12;100%
07Fibonacci;0.6;5;6;83%;12;12;100%
07Fibonacci;0.6;5;6;83%;12;12;100%
07Fibonacci;0.5;5;6;83%;12;12;100%
07Fibonacci;0.4;5;6;83%;12;12;100%
07Fibonacci;0.4;5;6;83%;12;12;100%
07Fibonacci;0.3;5;6;83%;12;12;100%
08MaxMin;0.7;12;13;92%;33;42;79%
08MaxMin;0.8;12;13;92%;32;42;76%
08MaxMin;0.9;12;13;92%;34;42;81%
08MaxMin;0.9;12;13;92%;33;42;79%
08MaxMin;1.0;12;13;92%;31;42;74%
08MaxMin;1.0;12;13;92%;35;42;83%
08MaxMin;0.6;12;13;92%;34;42;81%
08MaxMin;0.6;12;13;92%;34;42;81%
08MaxMin;0.6;12;13;92%;34;42;81%
08MaxMin;0.3;12;13;92%;34;42;81%
09Ordenacao;0.7;15;16;94%;54;56;96%
09Ordenacao;0.7;15;16;94%;54;56;96%
09Ordenacao;0.7;15;16;94%;54;56;96%
09Ordenacao;0.8;15;16;94%;54;56;96%
09Ordenacao;0.8;15;16;94%;52;56;93%
09Ordenacao;0.8;15;16;94%;54;56;96%
09Ordenacao;0.9;2;16;13%;2;56;4%
09Ordenacao;0.9;15;16;94%;54;56;96%
09Ordenacao;0.9;15;16;94%;54;56;96%
09Ordenacao;1.0;15;16;94%;53;56;95%
09Ordenacao;1.0;15;16;94%;54;56;96%
09Ordenacao;1.0;15;16;94%;51;56;91%
09Ordenacao;0.6;15;16;94%;54;56;96%
09Ordenacao;0.6;15;16;94%;54;56;96%
09Ordenacao;0.6;15;16;94%;54;56;96%
09Ordenacao;0.5;15;16;94%;54;56;96%
09Ordenacao;0.5;15;16;94%;54;56;96%
09Ordenacao;0.5;15;16;94%;54;56;96%
09Ordenacao;0.4;15;16;94%;54;56;96%
09Ordenacao;0.4;15;16;94%;52;56;93%
09Ordenacao;0.4;15;16;94%;54;56;96%
09Ordenacao;0.3;15;16;94%;54;56;96%
09Ordenacao;0.3;15;16;94%;54;56;96%
09Ordenacao;0.3;15;16;94%;51;56;91%
09Ordenacao;0.2;15;16;94%;54;56;96%
09Ordenacao;0.2;15;16;94%;54;56;96%
09Ordenacao;0.2;15;16;94%;54;56;96%
09Ordenacao;0.1;15;16;94%;54;56;96%
09Ordenacao;0.1;15;16;94%;54;56;96%
09Ordenacao;0.1;15;16;94%;54;56;96%
09Ordenacao;0.0;15;16;94%;54;56;96%
09Ordenacao;0.0;15;16;94%;54;56;96%
09Ordenacao;0.0;15;16;94%;54;56;96%
11ListArray;0.7;12;12;100%;20;31;65%
11ListArray;0.9;12;12;100%;20;31;65%
11ListArray;1.0;12;12;100%;23;31;74%
11ListArray;0.6;11;12;92%;19;31;61%
11ListArray;0.6;12;12;100%;20;31;65%
11ListArray;0.5;12;12;100%;19;31;61%
11ListArray;0.4;11;12;92%;19;31;61%
11ListArray;0.4;11;12;92%;19;31;61%
11ListArray;0.3;11;12;92%;19;31;61%
11ListArray;0.3;11;12;92%;19;31;61%
11ListArray;0.2;12;12;100%;20;31;65%
11ListArray;0.1;11;12;92%;18;31;58%
11ListArray;0.1;11;12;92%;18;31;58%
11ListArray;0.1;12;12;100%;20;31;65%
12Lista;0.7;12;12;100%;16;23;70%
12Lista;0.7;12;12;100%;16;23;70%
12Lista;0.7;12;12;100%;20;23;87%
12Lista;0.8;12;12;100%;16;23;70%
12Lista;0.8;12;12;100%;20;23;87%
12Lista;0.8;12;12;100%;16;23;70%
12Lista;0.9;5;12;42%;8;23;35%
12Lista;0.9;12;12;100%;20;23;87%
12Lista;1.0;12;12;100%;17;23;74%
12Lista;0.6;12;12;100%;17;23;74%
12Lista;0.6;12;12;100%;16;23;70%
12Lista;0.5;12;12;100%;16;23;70%
12Lista;0.5;12;12;100%;16;23;70%
12Lista;0.4;12;12;100%;16;23;70%
12Lista;0.4;12;12;100%;17;23;74%
12Lista;0.4;12;12;100%;16;23;70%
12Lista;0.3;12;12;100%;16;23;70%
12Lista;0.3;12;12;100%;17;23;74%
12Lista;0.2;12;12;100%;16;23;70%
12Lista;0.2;12;12;100%;16;23;70%
12Lista;0.2;12;12;100%;16;23;70%
12Lista;0.1;12;12;100%;16;23;70%
12Lista;0.1;12;12;100%;16;23;70%
12Lista;0.1;12;12;100%;16;23;70%
12Lista;0.0;12;12;100%;16;23;70%
12Lista;0.0;12;12;100%;16;23;70%
12Lista;0.0;12;12;100%;16;23;70%
13Pilha;0.7;11;12;92%;24;31;77%
13Pilha;0.7;12;12;100%;30;31;97%
13Pilha;0.8;12;12;100%;25;31;81%
13Pilha;0.8;12;12;100%;25;31;81%
13Pilha;0.9;12;12;100%;25;31;81%
13Pilha;1.0;12;12;100%;25;31;81%
13Pilha;0.6;10;12;83%;24;31;77%
13Pilha;0.6;12;12;100%;25;31;81%
13Pilha;0.6;12;12;100%;25;31;81%
13Pilha;0.4;11;12;92%;24;31;77%
13Pilha;0.4;12;12;100%;25;31;81%
13Pilha;0.3;12;12;100%;25;31;81%
13Pilha;0.2;12;12;100%;25;31;81%
13Pilha;0.1;12;12;100%;25;31;81%
13Pilha;0.1;12;12;100%;25;31;81%
13Pilha;0.1;12;12;100%;25;31;81%
13Pilha;0.0;12;12;100%;25;31;81%
13Pilha;0.0;12;12;100%;25;31;81%
14Pilha;0.7;17;17;100%;24;31;77%
14Pilha;0.7;17;17;100%;23;31;74%
14Pilha;0.8;17;17;100%;24;31;77%
14Pilha;0.8;17;17;100%;26;31;84%
14Pilha;0.8;17;17;100%;26;31;84%
14Pilha;0.9;17;17;100%;28;31;90%
14Pilha;0.9;16;17;94%;24;31;77%
14Pilha;1.0;17;17;100%;26;31;84%
14Pilha;0.6;17;17;100%;24;31;77%
14Pilha;0.6;17;17;100%;23;31;74%
14Pilha;0.5;17;17;100%;24;31;77%
14Pilha;0.5;17;17;100%;24;31;77%
14Pilha;0.4;17;17;100%;23;31;74%
14Pilha;0.3;17;17;100%;23;31;74%
14Pilha;0.3;17;17;100%;23;31;74%
14Pilha;0.3;17;17;100%;23;31;74%
14Pilha;0.2;17;17;100%;23;31;74%
14Pilha;0.2;17;17;100%;24;31;77%
14Pilha;0.1;17;17;100%;23;31;74%
14Pilha;0.1;17;17;100%;23;31;74%
14Pilha;0.1;17;17;100%;23;31;74%
14Pilha;0.0;17;17;100%;23;31;74%
14Pilha;0.0;17;17;100%;23;31;74%
14Pilha;0.0;17;17;100%;23;31;74%
15Fila;0.7;18;19;95%;36;43;84%
15Fila;0.7;16;19;84%;29;43;67%
15Fila;0.8;19;19;100%;30;43;70%
15Fila;0.8;19;19;100%;33;43;77%
15Fila;1.0;14;19;74%;25;43;58%
15Fila;1.0;16;19;84%;29;43;67%
15Fila;0.6;19;19;100%;36;43;84%
15Fila;0.6;19;19;100%;34;43;79%
15Fila;0.6;19;19;100%;35;43;81%
15Fila;0.5;19;19;100%;36;43;84%
15Fila;0.5;19;19;100%;34;43;79%
16Fila;0.8;23;23;100%;24;37;65%
16Fila;0.9;23;23;100%;24;37;65%
16Fila;0.4;23;23;100%;24;37;65%
17Ordenacao;1.0;44;48;92%;77;139;55%
20Tabela;0.7;9;21;43%;5;57;9%
20Tabela;0.7;20;21;95%;44;57;77%
20Tabela;1.0;20;21;95%;46;57;81%
20Tabela;0.6;19;21;90%;32;57;56%
20Tabela;0.5;19;21;90%;38;57;67%
20Tabela;0.4;19;21;90%;38;57;67%
20Tabela;0.2;19;21;90%;38;57;67%
20Tabela;0.1;19;21;90%;38;57;67%
20Tabela;0.1;19;21;90%;38;57;67%
20Tabela;0.0;19;21;90%;38;57;67%
20Tabela;0.0;19;21;90%;38;57;67%
20Tabela;0.0;19;21;90%;38;57;67%
21ArvoreBinaria;0.8;24;48;50%;66;160;41%
21ArvoreBinaria;0.8;32;48;67%;61;160;38%
21ArvoreBinaria;0.8;34;48;71%;64;160;40%
21ArvoreBinaria;0.9;34;48;71%;74;160;46%
21ArvoreBinaria;0.9;29;48;60%;18;160;11%
21ArvoreBinaria;0.9;34;48;71%;77;160;48%
21ArvoreBinaria;1.0;21;48;44%;36;160;23%
21ArvoreBinaria;1.0;28;48;58%;73;160;46%
21ArvoreBinaria;1.0;38;48;79%;56;160;35%
21ArvoreBinaria;0.6;33;48;69%;47;160;29%
21ArvoreBinaria;0.6;23;48;48%;50;160;31%
21ArvoreBinaria;0.6;33;48;69%;68;160;43%
21ArvoreBinaria;0.5;33;48;69%;67;160;42%
21ArvoreBinaria;0.5;33;48;69%;66;160;41%
21ArvoreBinaria;0.4;33;48;69%;66;160;41%
21ArvoreBinaria;0.4;33;48;69%;72;160;45%
21ArvoreBinaria;0.4;38;48;79%;79;160;49%
21ArvoreBinaria;0.3;33;48;69%;72;160;45%
21ArvoreBinaria;0.3;33;48;69%;66;160;41%
21ArvoreBinaria;0.3;28;48;58%;73;160;46%
21ArvoreBinaria;0.2;33;48;69%;66;160;41%
21ArvoreBinaria;0.2;33;48;69%;66;160;41%
21ArvoreBinaria;0.2;33;48;69%;66;160;41%
21ArvoreBinaria;0.1;33;48;69%;66;160;41%
21ArvoreBinaria;0.1;33;48;69%;72;160;45%
21ArvoreBinaria;0.1;33;48;69%;66;160;41%
21ArvoreBinaria;0.0;33;48;69%;66;160;41%
21ArvoreBinaria;0.0;33;48;69%;66;160;41%
21ArvoreBinaria;0.0;33;48;69%;66;160;41%
22TabelaHash;0.7;29;35;83%;42;89;47%
22TabelaHash;0.7;34;35;97%;50;89;56%
22TabelaHash;0.8;34;35;97%;49;89;55%
22TabelaHash;0.8;34;35;97%;49;89;55%
22TabelaHash;0.9;34;35;97%;50;89;56%
22TabelaHash;0.9;34;35;97%;48;89;54%
22TabelaHash;1.0;29;35;83%;42;89;47%
22TabelaHash;1.0;34;35;97%;49;89;55%
22TabelaHash;0.6;29;35;83%;52;89;58%
22TabelaHash;0.5;34;35;97%;59;89;66%
22TabelaHash;0.5;34;35;97%;61;89;69%
22TabelaHash;0.4;34;35;97%;62;89;70%
22TabelaHash;0.3;34;35;97%;58;89;65%
22TabelaHash;0.3;34;35;97%;58;89;65%
22TabelaHash;0.3;34;35;97%;50;89;56%
22TabelaHash;0.2;29;35;83%;54;89;61%
22TabelaHash;0.1;34;35;97%;56;89;63%
22TabelaHash;0.0;29;35;83%;56;89;63%
23TabelaHash;0.8;49;52;94%;95;166;57%
23TabelaHash;0.9;50;52;96%;102;166;61%
23TabelaHash;0.2;49;52;94%;121;166;73%
24Grafo;0.8;32;42;76%;86;143;60%
24Grafo;0.8;42;42;100%;100;143;70%
24Grafo;0.9;25;42;60%;53;143;37%
24Grafo;0.9;32;42;76%;82;143;57%
24Grafo;1.0;32;42;76%;82;143;57%
24Grafo;0.6;32;42;76%;85;143;59%
24Grafo;0.6;32;42;76%;82;143;57%
24Grafo;0.5;32;42;76%;86;143;60%
24Grafo;0.5;32;42;76%;82;143;57%
24Grafo;0.4;32;42;76%;82;143;57%
24Grafo;0.4;32;42;76%;82;143;57%
24Grafo;0.4;32;42;76%;82;143;57%
24Grafo;0.3;32;42;76%;84;143;59%
24Grafo;0.3;32;42;76%;84;143;59%
24Grafo;0.2;32;42;76%;84;143;59%
24Grafo;0.2;32;42;76%;84;143;59%
24Grafo;0.2;32;42;76%;84;143;59%
24Grafo;0.1;32;42;76%;84;143;59%
24Grafo;0.1;32;42;76%;84;143;59%
24Grafo;0.1;32;42;76%;83;143;58%
24Grafo;0.0;32;42;76%;83;143;58%
24Grafo;0.0;32;42;76%;83;143;58%
24Grafo;0.0;32;42;76%;84;143;59%
25Grafo;0.7;27;34;79%;69;109;63%
25Grafo;0.9;27;34;79%;69;109;63%
25Grafo;0.9;27;34;79%;68;109;62%
25Grafo;0.9;27;34;79%;68;109;62%
25Grafo;0.6;26;34;76%;65;109;60%
25Grafo;0.6;27;34;79%;67;109;61%
25Grafo;0.4;26;34;76%;61;109;56%
25Grafo;0.3;27;34;79%;68;109;62%
25Grafo;0.3;26;34;76%;67;109;61%
25Grafo;0.3;27;34;79%;68;109;62%
25Grafo;0.2;27;34;79%;68;109;62%
25Grafo;0.0;27;34;79%;68;109;62%
25Grafo;0.0;27;34;79%;68;109;62%
26Grafo;0.8;43;51;84%;76;127;60%
26Grafo;0.8;43;51;84%;75;127;59%
26Grafo;0.9;43;51;84%;68;127;54%
26Grafo;0.9;49;51;96%;84;127;66%
26Grafo;1.0;35;51;69%;52;127;41%
26Grafo;0.6;43;51;84%;68;127;54%
26Grafo;0.6;44;51;86%;77;127;61%
26Grafo;0.5;43;51;84%;76;127;60%
26Grafo;0.5;44;51;86%;76;127;60%
26Grafo;0.4;43;51;84%;74;127;58%
26Grafo;0.4;49;51;96%;89;127;70%
26Grafo;0.3;43;51;84%;74;127;58%
26Grafo;0.3;44;51;86%;82;127;65%
26Grafo;0.2;44;51;86%;75;127;59%
26Grafo;0.2;44;51;86%;75;127;59%
26Grafo;0.2;44;51;86%;75;127;59%
26Grafo;0.1;44;51;86%;78;127;61%
26Grafo;0.1;44;51;86%;75;127;59%
26Grafo;0.1;44;51;86%;74;127;58%
26Grafo;0.0;44;51;86%;75;127;59%
26Grafo;0.0;44;51;86%;75;127;59%
26Grafo;0.0;44;51;86%;78;127;61%
27Grafo;0.7;25;33;76%;60;108;56%
27Grafo;0.7;25;33;76%;65;108;60%
27Grafo;0.8;26;33;79%;56;108;52%
27Grafo;0.8;25;33;76%;65;108;60%
27Grafo;1.0;17;33;52%;41;108;38%
27Grafo;0.6;25;33;76%;66;108;61%
27Grafo;0.6;17;33;52%;47;108;44%
27Grafo;0.5;25;33;76%;60;108;56%
27Grafo;0.3;26;33;79%;68;108;63%
28BuscaEmLargura;1.0;25;33;76%;59;108;55%
28BuscaEmLargura;1.0;26;33;79%;68;108;63%
28BuscaEmLargura;0.2;13;33;39%;28;108;26%
28BuscaEmLargura;0.1;13;33;39%;28;108;26%
28BuscaEmLargura;0.0;13;33;39%;28;108;26%
28BuscaEmLargura;0.0;13;33;39%;28;108;26%
29Grafo;0.7;18;33;55%;49;108;45%
29Grafo;0.8;25;33;76%;61;108;56%
29Grafo;0.9;5;33;15%;7;108;6%
29Grafo;1.0;26;33;79%;67;108;62%
29Grafo;0.6;25;33;76%;61;108;56%
29Grafo;0.6;25;33;76%;67;108;62%
29Grafo;0.4;25;33;76%;65;108;60%
30Lista;0.7;32;32;100%;54;76;71%
30Lista;1.0;27;32;84%;45;76;59%
31CasamentoExato;0.7;39;40;98%;68;205;33%
31CasamentoExato;0.7;39;40;98%;68;205;33%
31CasamentoExato;0.7;39;40;98%;68;205;33%
31CasamentoExato;0.8;39;40;98%;63;205;31%
31CasamentoExato;0.8;39;40;98%;62;205;30%
31CasamentoExato;0.8;39;40;98%;70;205;34%
31CasamentoExato;0.9;39;40;98%;62;205;30%
31CasamentoExato;0.9;39;40;98%;66;205;32%
31CasamentoExato;0.9;39;40;98%;64;205;31%
31CasamentoExato;1.0;39;40;98%;62;205;30%
31CasamentoExato;1.0;39;40;98%;63;205;31%
31CasamentoExato;0.6;39;40;98%;64;205;31%
31CasamentoExato;0.6;39;40;98%;64;205;31%
31CasamentoExato;0.6;39;40;98%;66;205;32%
31CasamentoExato;0.5;39;40;98%;63;205;31%
31CasamentoExato;0.5;39;40;98%;64;205;31%
31CasamentoExato;0.5;39;40;98%;70;205;34%
31CasamentoExato;0.4;39;40;98%;64;205;31%
31CasamentoExato;0.4;39;40;98%;66;205;32%
31CasamentoExato;0.4;39;40;98%;64;205;31%
31CasamentoExato;0.3;39;40;98%;70;205;34%
31CasamentoExato;0.3;39;40;98%;68;205;33%
31CasamentoExato;0.3;39;40;98%;63;205;31%
31CasamentoExato;0.2;39;40;98%;70;205;34%
31CasamentoExato;0.2;39;40;98%;63;205;31%
31CasamentoExato;0.2;39;40;98%;64;205;31%
31CasamentoExato;0.1;39;40;98%;70;205;34%
31CasamentoExato;0.1;39;40;98%;70;205;34%
31CasamentoExato;0.1;39;40;98%;64;205;31%
31CasamentoExato;0.0;39;40;98%;70;205;34%
31CasamentoExato;0.0;39;40;98%;70;205;34%
31CasamentoExato;0.0;39;40;98%;70;205;34%
32CasamentoAproximado;0.7;18;19;95%;23;86;27%
32CasamentoAproximado;0.7;18;19;95%;22;86;26%
32CasamentoAproximado;0.8;18;19;95%;27;86;31%
32CasamentoAproximado;0.8;18;19;95%;22;86;26%
32CasamentoAproximado;0.8;18;19;95%;27;86;31%
32CasamentoAproximado;0.9;18;19;95%;24;86;28%
32CasamentoAproximado;0.9;18;19;95%;29;86;34%
32CasamentoAproximado;1.0;18;19;95%;23;86;27%
32CasamentoAproximado;0.6;18;19;95%;24;86;28%
32CasamentoAproximado;0.6;18;19;95%;22;86;26%
32CasamentoAproximado;0.6;18;19;95%;27;86;31%
32CasamentoAproximado;0.5;18;19;95%;22;86;26%
32CasamentoAproximado;0.5;18;19;95%;22;86;26%
32CasamentoAproximado;0.5;18;19;95%;29;86;34%
32CasamentoAproximado;0.4;18;19;95%;24;86;28%
32CasamentoAproximado;0.4;18;19;95%;22;86;26%
32CasamentoAproximado;0.4;18;19;95%;24;86;28%
32CasamentoAproximado;0.3;18;19;95%;22;86;26%
32CasamentoAproximado;0.3;18;19;95%;24;86;28%
32CasamentoAproximado;0.3;18;19;95%;24;86;28%
32CasamentoAproximado;0.2;18;19;95%;29;86;34%
32CasamentoAproximado;0.2;18;19;95%;22;86;26%
32CasamentoAproximado;0.2;18;19;95%;22;86;26%
32CasamentoAproximado;0.1;18;19;95%;24;86;28%
32CasamentoAproximado;0.1;18;19;95%;22;86;26%
32CasamentoAproximado;0.1;18;19;95%;24;86;28%
32CasamentoAproximado;0.0;18;19;95%;24;86;28%
32CasamentoAproximado;0.0;18;19;95%;24;86;28%
32CasamentoAproximado;0.0;18;19;95%;24;86;28%
33Identifier;0.7;21;22;95%;63;114;55%
33Identifier;1.0;22;22;100%;51;114;45%
